"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.958361625E0,-1.147432457E0,7.167097117E0,1.038181793E1,1.266751854E1
2.968412625E0,-1.780842032E0,8.617276765E0,6.689595360E0,1.105348557E1
2.978462625E0,-4.444565096E0,1.057700968E1,3.842141671E0,1.209914647E1
2.988513625E0,-8.395931586E0,1.308405953E1,4.560848674E0,1.620140801E1
2.998564625E0,-1.112685378E1,1.655760617E1,9.157847759E0,2.195056657E1
3.008615625E0,-1.164269865E1,2.051676641E1,1.420500117E1,2.753674262E1
3.018665625E0,-1.338844920E1,2.210457081E1,1.286864576E1,2.886978813E1
3.028716625E0,-1.486456242E1,2.248634955E1,9.195606739E0,2.848070075E1
3.038767625E0,-1.407375223E1,2.384541789E1,9.045325695E0,2.912889241E1
3.048818625E0,-1.140997128E1,2.435779302E1,1.289253749E1,2.982795749E1
3.058869625E0,-8.525652650E0,2.101316462E1,1.778603835E1,2.881983693E1
3.068919625E0,-7.365533490E0,1.578450954E1,1.551912781E1,2.332906241E1
3.078970625E0,-6.372453493E0,1.205548167E1,1.073422260E1,1.735414465E1
3.089021625E0,-4.539124514E0,9.267788277E0,7.896964116E0,1.299452166E1
3.099072625E0,-2.803318906E0,6.530737621E0,5.838290462E0,9.197541317E0
3.109123625E0,-8.503228578E-1,2.288569216E0,3.489492002E0,4.258773585E0
3.119173625E0,1.637844865E0,-6.686783434E0,-2.180300417E0,7.221448498E0
3.129224625E0,4.411954005E0,-1.690872445E1,-2.404159899E1,2.972152053E1
3.139275625E0,5.808933932E0,-2.103781648E1,-3.335661113E1,3.986222450E1
3.149326625E0,3.970598274E0,-1.822295985E1,-1.587116995E1,2.448950697E1
3.159376625E0,3.765161615E0,-9.307292651E0,-1.035406821E1,1.442251251E1
3.169427625E0,2.097604415E0,2.936312656E0,9.843953612E0,1.048452665E1
3.179478625E0,-3.459602789E0,1.226718011E1,2.654113165E1,2.944289776E1
3.189529625E0,-9.469311395E0,1.798699312E1,3.105640537E1,3.711738265E1
3.199579625E0,-9.581024204E0,8.575876724E0,3.259926105E1,3.504359438E1
3.209630625E0,-2.759110740E0,-7.034176456E0,1.916553569E1,2.060121571E1
